,Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,Device Information,Network Segment,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source,Source Network,Destination Network,Source IP Continent,Source IP Country,Destination IP Continent,Destination IP Country
12,2022-01-06 14:20:57,85.170.153.185,94.190.149.216,39163,52962,ICMP,1365,Control,HTTP,"Eos mollitia unde maiores mollitia. Est doloremque aut dolore impedit magni eligendi.
Maiores veniam dolores nemo facere dolorem iure. Quia fugiat exercitationem aliquam.",IoC Detected,94.85,,Malware,Known Pattern A,Blocked,Medium,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/535.36.3 (KHTML, like Gecko) Version/4.0.1 Safari/535.36.3",Segment B,149.213.76.226,Log Data,Alert Data,Firewall,85.168.0.0/14,94.190.128.0/17,Europe,France,Europe,Bulgaria
13,2022-01-06 20:36:54,183.223.219.82,64.3.27.76,32949,51844,ICMP,803,Data,DNS,Quo officiis voluptatibus eaque culpa. Consectetur reiciendis magni id facilis deleniti.,IoC Detected,60.94,Alert Triggered,DDoS,Known Pattern B,Logged,High,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/4.0),Segment A,,Log Data,,Server,183.192.0.0/10,,Asia,China,,
14,2022-01-07 04:05:45,118.104.184.117,217.172.12.248,26297,21406,ICMP,1161,Control,HTTP,Reiciendis sunt modi consectetur fugit molestiae. Itaque veniam eos eveniet neque laborum natus sint. Provident officiis sed eveniet. Iure at vel architecto modi perspiciatis consectetur.,,53.5,Alert Triggered,Intrusion,Known Pattern A,Logged,Low,Opera/8.29.(X11; Linux i686; bho-IN) Presto/2.9.161 Version/12.00,Segment B,125.141.70.9,,Alert Data,Server,118.104.0.0/15,217.172.0.0/20,Asia,Japan,Europe,Italy
15,2022-01-07 04:24:15,197.140.166.152,216.175.180.174,19250,32195,TCP,658,Data,HTTP,"Error voluptas cumque alias et facere. Nihil similique officiis ab assumenda placeat. Placeat magni nostrum incidunt blanditiis asperiores.
Ut deleniti eligendi eligendi accusamus facilis.",IoC Detected,68.77,,Intrusion,Known Pattern B,Ignored,Low,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/16.3t8284.0 Mobile/91S323 Safari/536.1",Segment A,118.52.57.125,Log Data,Alert Data,Firewall,197.140.0.0/14,,Africa,Algeria,,
16,2022-01-08 00:00:40,65.49.94.66,61.223.99.55,62168,10272,UDP,1017,Data,HTTP,"Laudantium quam laboriosam. Corporis iusto iure.
Nobis hic quas iste pariatur rerum tempora. Laborum illo quod unde iusto ut placeat.
Ad aliquam mollitia quidem quos et. Voluptatem commodi odit.",,91.45,Alert Triggered,Malware,Known Pattern B,Logged,Low,Mozilla/5.0 (Android 4.3.1; Mobile; rv:15.0) Gecko/15.0 Firefox/15.0,Segment B,46.77.57.64,Log Data,,Firewall,,61.216.0.0/13,,,Asia,Taiwan
17,2022-01-08 09:48:37,89.234.123.19,180.17.247.177,20947,24568,UDP,1106,Control,HTTP,"Eum rem qui voluptas cupiditate. Incidunt repudiandae asperiores labore provident eius. Maxime quisquam a atque.
Reiciendis placeat hic culpa nihil. Qui beatae molestias velit blanditiis eos ea iure.",IoC Detected,13.36,Alert Triggered,Malware,Known Pattern A,Logged,High,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/6118-09-02 08:00:39 Firefox/3.6.3,Segment C,38.219.87.215,,Alert Data,Firewall,89.234.64.0/18,180.0.0.0/11,Europe,Ireland,Asia,Japan
18,2022-01-09 07:07:07,151.39.232.36,130.101.75.215,28256,59430,UDP,1399,Data,FTP,"Consequuntur quae minus. Culpa assumenda ea minus vero.
Reprehenderit soluta ducimus soluta id repudiandae repellat. Sequi eum amet sunt. Dignissimos quidem dignissimos cupiditate excepturi.",,70.7,Alert Triggered,DDoS,Known Pattern A,Logged,Medium,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),Segment C,,Log Data,,Firewall,151.32.0.0/11,,Europe,Italy,,
19,2022-01-09 07:49:49,112.204.195.53,95.158.130.254,52354,60476,UDP,477,Data,HTTP,"Aspernatur sit expedita architecto. Saepe excepturi voluptatibus tenetur ipsam. Et nihil necessitatibus assumenda.
Quasi repellat molestias beatae quaerat veniam. Eligendi eligendi occaecati veniam.",IoC Detected,41.81,Alert Triggered,Malware,Known Pattern B,Ignored,High,Opera/9.64.(Windows NT 5.0; crh-UA) Presto/2.9.179 Version/12.00,Segment A,40.19.80.124,Log Data,Alert Data,Firewall,112.200.0.0/13,95.158.128.0/18,Asia,Philippines,Europe,Bulgaria
20,2022-01-09 10:18:17,145.233.126.177,3.89.121.172,39708,18566,UDP,128,Control,DNS,Deserunt odit aut assumenda voluptates. Ut vel doloribus autem sapiente ut. Suscipit est illo iusto suscipit pariatur.,IoC Detected,57.23,Alert Triggered,Intrusion,Known Pattern A,Blocked,Low,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) CriOS/60.0.810.0 Mobile/53Y568 Safari/532.1",Segment C,192.226.170.102,,,Server,145.233.0.0/16,,Europe,United Kingdom,,
21,2022-01-10 18:21:05,146.167.135.94,110.92.54.123,52596,8891,UDP,955,Control,FTP,Quaerat adipisci dolore tempora eos repellendus sunt. Ratione debitis quibusdam officia blanditiis dolore doloribus quae. Eum explicabo animi.,IoC Detected,77.52,Alert Triggered,Intrusion,Known Pattern A,Ignored,High,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/3.0),Segment B,89.3.14.1,Log Data,Alert Data,Server,,110.92.32.0/19,,,Asia,Japan
22,2022-01-11 12:13:52,27.37.117.118,139.63.185.93,48183,15776,TCP,694,Control,HTTP,"Quidem quis est fugit dolore facilis assumenda.
Itaque labore dolor natus nostrum consequatur voluptates. Voluptates beatae tempore. Hic minima incidunt minus.",IoC Detected,38.36,,DDoS,Known Pattern B,Ignored,Medium,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/17.0.837.0 Safari/531.2",Segment B,,,,Firewall,27.36.0.0/14,139.63.0.0/16,Asia,China,Europe,Netherlands
23,2022-01-12 12:35:04,25.178.179.225,25.95.124.165,49057,61801,TCP,1070,Control,DNS,"Quaerat quos incidunt. Sunt officiis ex ipsum cumque ad mollitia.
Incidunt laudantium doloribus accusantium consectetur ut libero. Facilis adipisci veniam veniam iste dolores.",IoC Detected,85.11,,Malware,Known Pattern A,Blocked,Low,Opera/9.47.(X11; Linux i686; en-AU) Presto/2.9.187 Version/11.00,Segment A,214.68.222.152,,,Firewall,25.0.0.0/8,25.0.0.0/8,Europe,United Kingdom,Europe,United Kingdom
24,2022-01-12 14:58:21,29.48.37.69,158.210.121.117,35611,10490,TCP,140,Control,HTTP,Distinctio aliquid impedit exercitationem et. Exercitationem maiores non praesentium. Laudantium aspernatur adipisci quo.,,76.62,Alert Triggered,DDoS,Known Pattern B,Blocked,High,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_4 rv:6.0; ht-HT) AppleWebKit/531.50.3 (KHTML, like Gecko) Version/5.0.3 Safari/531.50.3",Segment A,,Log Data,,Server,,158.208.0.0/13,,,Asia,Japan
25,2022-01-12 17:01:30,68.164.203.162,120.10.90.143,31586,49762,TCP,1144,Data,DNS,Officia ipsum quo ipsum commodi accusamus. Facere dolorum repellendus animi reiciendis nemo debitis.,IoC Detected,24.77,,Malware,Known Pattern B,Logged,High,Opera/8.89.(X11; Linux i686; tn-ZA) Presto/2.9.173 Version/12.00,Segment B,,Log Data,,Server,,120.0.0.0/12,,,Asia,China
26,2022-01-13 09:33:50,197.144.125.165,143.29.160.178,48056,20260,UDP,459,Control,DNS,Consectetur neque ipsam laborum eaque laboriosam. Soluta animi fugiat quia ullam soluta voluptatibus. Facere adipisci ut sunt.,IoC Detected,26.18,Alert Triggered,Intrusion,Known Pattern A,Ignored,Medium,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_7 rv:3.0; ckb-IQ) AppleWebKit/534.38.1 (KHTML, like Gecko) Version/5.0 Safari/534.38.1",Segment A,33.162.226.52,,,Server,197.144.0.0/15,,Africa,Morocco,,
27,2022-01-14 14:34:35,133.216.66.110,109.21.61.49,3866,2260,TCP,147,Control,DNS,"Iste nemo voluptate molestiae est. Ipsam perferendis odio in eius aliquid unde impedit.
Architecto illum nulla nesciunt iure quo. Laboriosam vel iure dolores ipsa debitis aliquam.",,31.22,Alert Triggered,Intrusion,Known Pattern B,Logged,Medium,Opera/9.30.(X11; Linux x86_64; mi-NZ) Presto/2.9.189 Version/12.00,Segment B,,Log Data,,Firewall,133.0.0.0/8,109.16.0.0/13,Asia,Japan,Europe,France
28,2022-01-15 00:29:26,200.254.62.241,119.171.245.192,40759,11778,ICMP,689,Data,FTP,Fuga maxime deleniti quas nobis reiciendis ipsam. Consequuntur sequi voluptatem soluta.,IoC Detected,79.98,,Malware,Known Pattern B,Logged,Low,Mozilla/5.0 (Android 1.0; Mobile; rv:53.0) Gecko/53.0 Firefox/53.0,Segment C,65.213.70.151,,Alert Data,Server,200.240.0.0/12,119.168.0.0/13,South America,Brazil,Asia,Japan
29,2022-01-15 15:35:08,82.58.128.251,3.203.144.81,28318,28447,UDP,634,Control,FTP,Similique delectus illum ab odio. Assumenda sint fugit similique.,IoC Detected,32.58,Alert Triggered,Malware,Known Pattern A,Logged,High,Opera/8.11.(X11; Linux x86_64; yo-NG) Presto/2.9.187 Version/10.00,Segment C,93.224.149.93,Log Data,Alert Data,Server,82.48.0.0/12,,Europe,Italy,,
30,2022-01-15 16:29:35,62.8.27.225,59.65.94.154,41523,55032,TCP,275,Control,HTTP,Amet repudiandae est blanditiis nam aperiam iste impedit. Cupiditate animi perspiciatis nisi.,IoC Detected,17.11,,DDoS,Known Pattern B,Logged,Medium,Opera/8.52.(Windows NT 6.2; lg-UG) Presto/2.9.163 Version/12.00,Segment A,,Log Data,Alert Data,Firewall,62.8.0.0/19,59.64.0.0/12,Europe,France,Asia,China
31,2022-01-16 03:29:17,28.187.218.119,201.215.57.5,42506,33119,ICMP,823,Control,FTP,Magni mollitia necessitatibus quisquam quae rerum tenetur. Non voluptatibus mollitia facilis laboriosam quis corporis. Saepe reprehenderit molestiae itaque.,IoC Detected,2.66,Alert Triggered,Intrusion,Known Pattern A,Blocked,High,"Mozilla/5.0 (iPad; CPU iPad OS 12_4_8 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/12.6n2200.0 Mobile/12U431 Safari/532.0",Segment C,124.0.174.222,Log Data,Alert Data,Firewall,,201.214.0.0/15,,,South America,Chile
32,2022-01-16 07:21:37,126.242.100.196,71.83.209.93,10378,64711,TCP,548,Control,DNS,"Nemo illo esse ad asperiores iste. Non voluptatem quae modi quisquam.
Illum optio dolorum laboriosam a perspiciatis illo. Amet ullam quos quas voluptatibus.",IoC Detected,82.43,,DDoS,Known Pattern B,Ignored,Medium,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_9 rv:2.0; mg-MG) AppleWebKit/535.45.5 (KHTML, like Gecko) Version/4.0.2 Safari/535.45.5",Segment B,41.146.252.130,Log Data,Alert Data,Firewall,126.0.0.0/8,,Asia,Japan,,
33,2022-01-17 03:33:47,84.131.138.202,220.167.53.219,35740,2745,TCP,495,Data,FTP,Explicabo delectus ratione quod consectetur laudantium. Error id ducimus nulla temporibus tempore repellat consequatur. Doloremque hic cumque.,IoC Detected,34.17,Alert Triggered,Intrusion,Known Pattern B,Blocked,Medium,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/535.34.2 (KHTML, like Gecko) Version/5.1 Safari/535.34.2",Segment A,110.74.170.52,Log Data,Alert Data,Server,84.128.0.0/10,220.160.0.0/11,Europe,Germany,Asia,China
34,2022-01-18 22:09:21,203.238.227.170,176.85.17.243,61865,22744,ICMP,198,Control,FTP,Qui necessitatibus quos dolorem officiis. Ratione voluptatum dignissimos vel accusamus dicta eius. Sunt praesentium ullam delectus cum error eaque.,IoC Detected,15.49,,Intrusion,Known Pattern B,Logged,High,Opera/8.78.(X11; Linux x86_64; bem-ZM) Presto/2.9.173 Version/11.00,Segment C,,Log Data,Alert Data,Firewall,203.232.0.0/13,176.80.0.0/13,Asia,Republic of Korea,Europe,Spain
35,2022-01-18 22:36:40,208.24.238.96,84.67.132.72,7368,55733,ICMP,1151,Data,HTTP,"Qui illum voluptatem est perspiciatis harum. Necessitatibus quae iusto.
Iste impedit harum optio. Ratione voluptatibus soluta architecto delectus explicabo.",,82.07,,DDoS,Known Pattern B,Logged,Medium,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_4 rv:2.0; ha-NG) AppleWebKit/534.3.7 (KHTML, like Gecko) Version/4.0.4 Safari/534.3.7",Segment C,184.196.142.68,Log Data,,Server,,84.64.0.0/13,,,Asia,India
36,2022-01-19 15:05:45,218.114.100.99,40.197.40.133,15575,13916,UDP,669,Data,HTTP,Quasi deleniti harum ut. Labore fugit inventore. Corrupti optio pariatur explicabo voluptates soluta labore quas.,IoC Detected,76.04,Alert Triggered,Malware,Known Pattern B,Logged,Low,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_6 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) CriOS/14.0.881.0 Mobile/62X083 Safari/534.1",Segment A,57.84.83.128,,,Server,218.112.0.0/12,,Asia,Japan,,
37,2022-01-19 19:20:50,212.247.241.115,206.183.209.246,20916,46584,TCP,931,Control,DNS,"Assumenda accusantium temporibus adipisci eius nulla. Alias in doloribus consequuntur eius suscipit. Fuga veritatis similique unde numquam itaque quos.
Quo cupiditate eaque dolore.",IoC Detected,1.03,Alert Triggered,DDoS,Known Pattern B,Ignored,Low,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; uk-UA) AppleWebKit/534.32.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6534.32.3",Segment C,,,,Server,212.247.192.0/18,,Europe,Sweden,,
38,2022-01-20 13:50:31,216.43.181.89,118.228.145.175,16262,2959,TCP,632,Control,HTTP,Labore et praesentium illum vitae tempora a. Excepturi quasi molestias optio accusantium voluptas. Quod quidem atque totam aperiam earum.,IoC Detected,70.41,,DDoS,Known Pattern A,Blocked,Medium,Opera/8.68.(X11; Linux x86_64; tig-ER) Presto/2.9.188 Version/10.00,Segment B,,Log Data,,Firewall,,118.228.0.0/15,,,Asia,China
39,2022-01-20 16:47:28,70.194.126.28,164.17.192.31,56384,18541,TCP,1080,Data,HTTP,"Atque voluptas iste nulla iste voluptatum. Repudiandae officiis eveniet fugiat adipisci.
Ea temporibus enim nostrum culpa deleniti. Eveniet eligendi sapiente soluta.",,66.79,,Intrusion,Known Pattern B,Ignored,Medium,Mozilla/5.0 (Android 2.2; Mobile; rv:25.0) Gecko/25.0 Firefox/25.0,Segment B,,,,Server,,164.16.0.0/12,,,Europe,Germany
40,2022-01-20 17:11:15,36.129.21.189,157.205.228.135,25429,19258,ICMP,1268,Control,HTTP,"Ad saepe qui eaque occaecati consequatur neque. Dolorum sint et deserunt ipsa praesentium ratione.
Quae harum et nesciunt quis. Corrupti nostrum animi vitae sequi sunt. Illum quia animi.",,65.51,,Malware,Known Pattern A,Logged,Low,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_2; rv:1.9.3.20) Gecko/9362-08-28 06:42:47 Firefox/15.0,Segment B,134.210.186.71,,Alert Data,Server,36.128.0.0/10,157.205.0.0/16,Asia,China,Asia,Japan
41,2022-01-21 03:56:01,195.186.244.148,101.134.223.161,26512,35769,ICMP,1081,Data,FTP,Itaque quo dignissimos provident ipsum commodi reprehenderit eligendi. Laboriosam cupiditate perspiciatis saepe.,IoC Detected,27.09,,Malware,Known Pattern A,Logged,High,"Mozilla/5.0 (Linux; Android 2.2.3) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/42.0.844.0 Safari/532.2",Segment A,,Log Data,Alert Data,Firewall,195.186.0.0/16,101.132.0.0/14,Europe,Switzerland,Asia,China
42,2022-01-21 09:26:17,90.36.42.14,85.161.124.16,55169,51547,ICMP,533,Data,FTP,"Est illum accusantium voluptas tempore accusantium.
Quod quos est adipisci praesentium cumque maxime. Perferendis dolor dolores nulla labore. Fuga blanditiis ipsum odit nobis quas dolor.",IoC Detected,63.48,Alert Triggered,DDoS,Known Pattern B,Ignored,Medium,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/17.7s6595.0 Mobile/14R955 Safari/536.2",Segment B,178.124.203.177,,,Server,90.36.42.0/24,85.160.0.0/15,Europe,France,Europe,Czech Republic
43,2022-01-21 18:22:31,81.80.222.184,150.69.47.183,4008,35972,UDP,539,Data,FTP,Perspiciatis debitis at quo tempora. Eveniet natus officiis ratione dignissimos quas voluptatem hic. Repudiandae at ducimus voluptate.,,64.42,,Malware,Known Pattern A,Blocked,Medium,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/4.1),Segment A,184.252.167.215,Log Data,,Server,81.80.0.0/16,150.68.0.0/15,Europe,France,Asia,Japan
44,2022-01-21 23:14:40,85.85.193.135,24.219.174.25,40238,43210,ICMP,474,Control,FTP,"Quod a aut aut aliquam facere illum perspiciatis. Impedit rerum ratione vel voluptate.
Aspernatur accusantium illum eius ex dolore fugit. Necessitatibus possimus occaecati.",,62.69,,DDoS,Known Pattern A,Ignored,Medium,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/6547-12-20 03:27:19 Firefox/3.8,Segment B,77.234.58.228,Log Data,,Firewall,85.84.0.0/14,,Europe,Spain,,
45,2022-01-22 15:24:27,196.142.92.116,39.101.195.247,19715,26973,TCP,404,Data,FTP,Esse excepturi commodi ut maiores quas dolorem. Facilis magni dolore voluptates at. Aperiam ex consectetur debitis fugit officiis beatae.,IoC Detected,9.67,Alert Triggered,DDoS,Known Pattern B,Blocked,Medium,Opera/9.68.(Windows NT 5.0; ik-CA) Presto/2.9.187 Version/10.00,Segment A,,,Alert Data,Firewall,,39.100.0.0/14,,,Asia,China
46,2022-01-22 18:44:55,120.16.91.29,103.228.182.64,7224,25335,UDP,1050,Control,DNS,Quaerat minus architecto nisi vel quibusdam quam. Pariatur ut pariatur doloribus vero. Saepe totam vitae blanditiis recusandae ipsam. Suscipit quam nostrum rem tempora.,IoC Detected,15.21,,Intrusion,Known Pattern A,Ignored,Medium,Opera/8.95.(Windows NT 5.0; mt-MT) Presto/2.9.179 Version/10.00,Segment B,,Log Data,,Server,120.16.0.0/13,103.228.180.0/22,Oceania,Australia,Asia,Hong Kong
47,2022-01-23 06:56:42,42.11.153.37,123.211.240.13,3196,8302,UDP,242,Data,FTP,"Earum reiciendis eum laudantium deserunt nemo aspernatur. Laborum qui reiciendis facilis impedit voluptatem.
Esse tempore fuga minima.",,44.45,,DDoS,Known Pattern B,Ignored,Medium,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/535.30.1 (KHTML, like Gecko) Version/4.0 Safari/535.30.1",Segment B,,Log Data,Alert Data,Server,42.8.0.0/13,123.208.0.0/14,Asia,Republic of Korea,Oceania,Australia
48,2022-01-23 13:45:44,136.8.73.150,212.102.193.138,6559,55796,TCP,740,Data,DNS,Unde alias nulla officia recusandae quae. Perspiciatis consequuntur corporis aut repellat nihil molestiae. Ipsum labore molestiae suscipit ratione reprehenderit iusto consectetur.,IoC Detected,62.21,Alert Triggered,Malware,Known Pattern A,Ignored,High,"Mozilla/5.0 (Linux; Android 2.3.7) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/27.0.847.0 Safari/531.0",Segment C,201.22.96.218,Log Data,,Firewall,,212.102.192.0/19,,,Europe,United Kingdom
49,2022-01-23 22:46:54,186.107.102.54,28.189.226.108,58949,54564,UDP,1227,Data,HTTP,Consectetur facere cum similique dignissimos. Ratione error laborum illo quis eveniet dolores.,,6.2,,DDoS,Known Pattern A,Blocked,Low,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; mhr-RU) AppleWebKit/533.47.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6533.47.5",Segment C,167.101.182.82,,Alert Data,Server,186.104.0.0/14,,South America,Chile,,
50,2022-01-23 23:09:04,170.155.66.59,141.82.1.103,57705,27319,ICMP,1163,Control,FTP,Illum facere aliquam fugiat eligendi. Ipsa deleniti saepe praesentium similique adipisci. Fugiat odio cupiditate blanditiis libero.,,41.05,,Malware,Known Pattern B,Ignored,Medium,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0),Segment B,,Log Data,,Server,170.155.0.0/16,141.82.0.0/15,South America,Argentina,Europe,Germany
